[Q]6x6-14-10013 OfofoOfqffqfoofoqqOfoofOoffooofqoqff    3x1,2x7,1x9,-2x1
[Q]6x6-14-10030 fOfqqqOqfffOfoofOfOfOoqOqooffqQfffOQ    4x2,3x1,2x3,1x9,-1x1,-2x1
[Q]6x6-14-10042 qfoOqffoofqQofOoffoqfOoqqfffOfqfoofO    2x7,1x10,-1x1,-2x1
[Q]6x6-14-10090 fqfoqfqqoqffOfofOfqoofQQofoqOfqffqfo    3x1,2x6,1x9,-1x1
[Q]6x6-14-10147 ffoOqqofqfqffofofoqqofooqfQOofqfoffO    4x1,3x1,2x4,1x10,-1x1
[Q]6x6-14-10155 OQfooqffoffqffOqooOoOfOffqfofoOoqOff    5x1,4x1,2x6,1x8,-4x1
[Q]6x6-14-10182 fofofqqooqOqfofofofooofOqofffoOffoqf    3x2,2x6,1x10,-1x1,-2x1
[Q]6x6-14-10216 fqfffQofoOqqqOOfOffOffoqffqofqoOqfqO    4x1,3x1,2x4,1x11,-1x1,-4x1
[Q]6x6-14-10222 fooOqOqofofffOfOoOfffofoofooqfqOqffq    6x1,3x1,2x4,1x11,-1x1
[Q]6x6-14-10233 qqfOfqfooOqfqqfofoOfOfoqfqOOqfqfffof    4x2,2x2,1x10,-1x1
[Q]6x6-14-10307 qfofqqqoqfofffoofoqofoOOfooqffqqfqff    2x8,1x7,-1x1
[Q]6x6-14-10332 foqOqOQfoffqqofffOfoqoOfofOfOqfqqfOf    5x2,2x6,1x10,-2x1
[Q]6x6-14-10338 ffffqOqofoqfOfofqqqoqofOfqfOoofqofqf    3x1,2x6,1x9,-2x1
[Q]6x6-14-10340 OqOfqOffooOfOooffffofoofqoqfqqqfofOf    4x2,3x1,2x4,1x9,-2x1
[Q]6x6-14-10364 OqOoOOffofoffqoqffqofoffofoofOfOfqoq    4x1,3x2,2x3,1x10,-4x1
[Q]6x6-14-10382 fqOqfqqofoffofffoqfOoOfoOffoofqoOofO    5x1,3x1,2x3,1x13,-1x1
[Q]6x6-14-10414 qoOfOqQffOfOfofqOffooofqqffOqoffoQfO    6x1,2x3,1x10,-1x1
[Q]6x6-14-10448 fofOfqfqofooOfOffofofofoqofqOqfqoofq    3x1,2x6,1x11,-3x1
[Q]6x6-14-10468 ofOOqqooffoffOofqqoOffofqffOfqffoqoO    3x1,2x6,1x12,-1x1
[Q]6x6-14-10561 QOfOoqfOfofOofOqfOoqfoqOfqOffffqfoOf    7x1,5x1,4x1,3x1,2x1,1x14,-1x1,-3x1
[Q]6x6-14-10571 qffQqfOoOoffoffOqOoOOfofffofoqfqqofq    6x1,2x4,1x11,-1x1
[Q]6x6-14-10597 qofOOqffoofffofoofqOOqfqofOfOQfqfofq    2x9,1x12,-1x1,-2x1
[Q]6x6-14-10606 OfOoOoOfoffoqfqfOffoofoOofqoofofoffO    4x1,3x1,2x4,1x12,-1x1,-2x2
[Q]6x6-14-10613 oOqfOqffoofqOqOfOfOfofOOffoqqfOofoff    6x1,4x3,2x1,1x14,-5x1
[Q]6x6-14-10622 QofqqOOfOOfofofOfoqffOooofofofqfqffO    4x1,3x1,2x5,1x12,-4x1
[Q]6x6-14-10653 fffqofqqoofoOffOOqfOofoffqfoffOooqoq    4x1,3x1,2x4,1x12,-2x1,-4x1
[Q]6x6-14-10661 qfqfofqqqofqfOfOOqofoffqfOOOfqofqffq    6x1,2x3,1x10,-1x1
[Q]6x6-14-10722 fooooqqffqfOOfOffofqooofoffOffOfoqoo    4x1,3x1,2x4,1x14,-1x1,-2x1
[Q]6x6-14-10729 QqOOfOQfofOofoqOfoffoffOqOfOfqqfoOff    4x1,3x3,2x2,1x12,-3x1
[Q]6x6-14-10734 qOOfqffOfoOQoffofqOfooqfqqofofQffoqf    4x1,3x1,2x4,1x11,-1x1,-2x1
[Q]6x6-14-10746 OOoOoffqffoOooffOfqffoOQOfoqfoffqfoq    6x1,2x4,1x13,-1x1,-5x1
[Q]6x6-14-10753 ffooOqofqfffqOOoofffofoqoqOffoOffoOq    6x1,4x1,2x2,1x12,-1x1,-5x2
[Q]6x6-14-10757 ffofofqffoQqqOofOfoffoqffooofoqqfqOq    3x1,2x6,1x12,-2x1
[Q]6x6-14-10791 oqofOqoffoOffOoffooqffoOffoffqOQqofO    4x2,3x2,2x2,1x11,-1x1,-4x1
[Q]6x6-14-10792 OffoOOqfffffqooofqqfOfqqqqooOfqffqfo    6x1,2x3,1x9,-1x1
[Q]6x6-14-10856 qofqffOfOqffOffqfqoffOoOoqOOfoOfqfoq    4x1,3x1,2x4,1x10,-1x1
[Q]6x6-14-10859 ffofofofoOfQqoqfqOqfoOfoqffOOfqqoqff    4x2,3x1,2x5,1x9,-1x1
[Q]6x6-14-10881 ofofqqfooofqofofOfqOqfqqofoOofffffqq    2x7,1x9,-1x1,-2x1
[Q]6x6-14-10891 qfqffQqOqffQofofqqofoofOoqofoqfqffOf    4x1,3x1,2x5,1x8,-1x1,-4x1
[Q]6x6-14-10905 OffqfqoooqoqoffOfoqqqoofqfofqoqfffff    4x1,3x1,2x4,1x9,-1x1
[Q]6x6-14-10932 OfofqqoqfOOfffoOfoqofofoqfoooOffqfQf    2x7,1x12,-1x1
[Q]6x6-14-10974 fofooqffoqfffofofoqooqoqofOffOffOqoq    2x7,1x9,-2x1
